Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2027-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2027-03-01,Labour Day,Labour Day,AU,False,False,,Public,AUS-WA
2027-03-08,Canberra Day,Canberra Day,AU,False,False,,Public,AUS-ACT
2027-03-08,March Public Holiday,March Public Holiday,AU,False,False,,Public,AUS-SA
2027-03-08,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AUS-TAS
2027-03-08,Labour Day,Labour Day,AU,False,False,,Public,AUS-VIC
2027-03-26,Good Friday,Good Friday,AU,False,True,,Public,
2027-03-27,Easter Eve,Holy Saturday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-NT,AUS-QLD,AUS-SA,AUS-VIC"
2027-03-28,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-VIC"
2027-03-29,Easter Monday,Easter Monday,AU,False,True,,Public,
2027-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2027-05-03,May Day,May Day,AU,False,False,,Public,AUS-NT
2027-05-03,Labour Day,Labour Day,AU,False,False,,Public,AUS-QLD
2027-05-31,Reconciliation Day,Reconciliation Day,AU,False,False,2018,Public,AUS-ACT
2027-06-07,Western Australia Day,Western Australia Day,AU,False,False,,Public,AUS-WA
2027-06-14,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-NT,AUS-SA,AUS-TAS,AUS-VIC"
2027-08-02,Picnic Day,Picnic Day,AU,False,False,,Public,AUS-NT
2027-10-04,Labour Day,Labour Day,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-SA"
2027-12-25,Christmas Day,Christmas Day,AU,True,True,,Public,
2027-12-27,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
