Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,New Year's Day,New Year's Day,NZ,False,True,,Public,
2025-01-02,Day after New Year's Day,Day after New Year's Day,NZ,False,True,,Public,
2025-01-20,Wellington Anniversary Day,Wellington Anniversary Day,NZ,False,False,,Public,"NZ-WGN,NZ-MWT"
2025-01-27,Auckland/Northland Anniversary Day,Auckland Anniversary Day,NZ,False,False,,Public,"NZ-AUK,NZ-NTL,NZ-MWT,NZ-WKO,NZ-GIS,NZ-BOP,NZ-HKB"
2025-02-03,Nelson Anniversary Day,Nelson Anniversary Day,NZ,False,False,,Public,NZ-NSN
2025-02-06,Waitangi Day,Waitangi Day,NZ,False,True,,Public,
2025-03-10,Taranaki Anniversary Day,Taranaki Anniversary Day,NZ,False,False,,Public,NZ-TKI
2025-03-24,Otago Anniversary Day,Otago Anniversary Day,NZ,False,False,,Public,NZ-OTA
2025-04-18,Good Friday,Good Friday,NZ,False,True,,Public,
2025-04-21,Easter Monday,Easter Monday,NZ,False,True,,Public,
2025-04-22,Southland Anniversary Day,Southland Anniversary Day,NZ,False,False,,Public,NZ-STL
2025-04-25,Anzac Day,Anzac Day,NZ,False,True,,Public,
2025-06-02,Queen's Birthday,Queen's Birthday,NZ,False,True,,Public,
2025-06-20,Matariki,Matariki,NZ,False,True,,Public,
2025-09-22,Dominion Day,Canterbury (South) Anniversary Day,NZ,False,False,,Public,NZ-CAN
2025-10-24,Hawke's Bay Anniversary Day,Hawke's Bay Anniversary Day,NZ,False,False,,Public,NZ-HKB
2025-10-27,Labour Day,Labour Day,NZ,False,True,,Public,
2025-11-03,Marlborough Anniversary Day,Marlborough Anniversary Day,NZ,False,False,,Public,NZ-MBH
2025-11-14,Canterbury (North & Central) Anniversary Day,Canterbury Anniversary Day,NZ,False,False,,Public,NZ-CAN
2025-12-01,Chatham Islands Anniversary Day,Chatham Islands Anniversary Day,NZ,False,False,,Public,NZ-CIT
2025-12-01,Westland Anniversary Day,Westland Anniversary Day,NZ,False,False,,Public,NZ-WTC
2025-12-25,Christmas Day,Christmas Day,NZ,False,True,,Public,
2025-12-26,Boxing Day,Boxing Day,NZ,False,True,,Public,
