Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2025-01-27,Australia Day,Australia Day,AU,False,True,,Public,
2025-03-03,Labour Day,Labour Day,AU,False,False,,Public,AUS-WA
2025-03-10,Canberra Day,Canberra Day,AU,False,False,,Public,AUS-ACT
2025-03-10,March Public Holiday,March Public Holiday,AU,False,False,,Public,AUS-SA
2025-03-10,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AUS-TAS
2025-03-10,Labour Day,Labour Day,AU,False,False,,Public,AUS-VIC
2025-04-18,Good Friday,Good Friday,AU,False,True,,Public,
2025-04-19,Easter Eve,Holy Saturday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-NT,AUS-QLD,AUS-SA,AUS-VIC"
2025-04-20,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-VIC"
2025-04-21,Easter Monday,Easter Monday,AU,False,True,,Public,
2025-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2025-05-05,May Day,May Day,AU,False,False,,Public,AUS-NT
2025-05-05,Labour Day,Labour Day,AU,False,False,,Public,AUS-QLD
2025-06-02,Reconciliation Day,Reconciliation Day,AU,False,False,2018,Public,AUS-ACT
2025-06-02,Western Australia Day,Western Australia Day,AU,False,False,,Public,AUS-WA
2025-06-09,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-NT,AUS-SA,AUS-TAS,AUS-VIC"
2025-08-04,Picnic Day,Picnic Day,AU,False,False,,Public,AUS-NT
2025-10-06,Labour Day,Labour Day,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-SA"
2025-12-25,Christmas Day,Christmas Day,AU,True,True,,Public,
2025-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
