Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2024-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2024-03-04,Labour Day,Labour Day,AU,False,False,,Public,AUS-WA
2024-03-11,Canberra Day,Canberra Day,AU,False,False,,Public,AUS-ACT
2024-03-11,March Public Holiday,March Public Holiday,AU,False,False,,Public,AUS-SA
2024-03-11,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AUS-TAS
2024-03-11,Labour Day,Labour Day,AU,False,False,,Public,AUS-VIC
2024-03-29,Good Friday,Good Friday,AU,False,True,,Public,
2024-03-30,Easter Eve,Holy Saturday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-NT,AUS-QLD,AUS-SA,AUS-VIC"
2024-03-31,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-VIC"
2024-04-01,Easter Monday,Easter Monday,AU,False,True,,Public,
2024-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2024-05-06,May Day,May Day,AU,False,False,,Public,AUS-NT
2024-05-06,Labour Day,Labour Day,AU,False,False,,Public,AUS-QLD
2024-05-27,Reconciliation Day,Reconciliation Day,AU,False,False,2018,Public,AUS-ACT
2024-06-03,Western Australia Day,Western Australia Day,AU,False,False,,Public,AUS-WA
2024-06-10,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-NT,AUS-SA,AUS-TAS,AUS-VIC"
2024-08-05,Picnic Day,Picnic Day,AU,False,False,,Public,AUS-NT
2024-10-07,Labour Day,Labour Day,AU,False,False,,Public,"AUS-ACT,AUS-NSW,AUS-SA"
2024-12-25,Christmas Day,Christmas Day,AU,True,True,,Public,
2024-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
